id_exercise,id_pattern,id_muscle,id_rol,english_name
Máquina de abductores,Ejercicios de Aislamiento,Abductores,Agonista,Abductor Machine
Abducción de cadera en polea,Ejercicios de Aislamiento,Abductores,Agonista,Cable Hip Abduction
Abducción de cadera en suelo,Ejercicios de Aislamiento,Abductores,Agonista,Floor Hip Abduction
Abducción de cadera en máquina,Ejercicios de Aislamiento,Abductores,Agonista,Hip Abduction Machine
Caminata lateral con banda,Ejercicios de Aislamiento,Abductores,Agonista,Lateral Band Walk
Máquina de aductores,Ejercicios de Aislamiento,Aductores,Agonista,Adductor Machine
Flexión de muñeca en barra,Ejercicios de Aislamiento,Antebrazos,Agonista,Bar Wrist Flexion
Curl de muñeca con barra,Ejercicios de Aislamiento,Antebrazos,Agonista,Barbell Wrist Curl
Curl de muñeca en polea,Ejercicios de Aislamiento,Antebrazos,Agonista,Cable Wrist Curl
Curl de muñeca con mancuernas,Ejercicios de Aislamiento,Antebrazos,Agonista,Dumbbell Wrist Curl
Curl de muñeca en banco inclinado,Ejercicios de Aislamiento,Antebrazos,Agonista,Incline Bench Wrist Curl
Curl con barra agarre prono,Ejercicios de Aislamiento,Antebrazos,Agonista,Prone barbell curl
Rodillo de muñecas,Ejercicios de Aislamiento,Antebrazos,Agonista,Wrist roller
Curl con banda,Ejercicios de Aislamiento,Bíceps,Agonista,Band Curl
Curl de bíceps con barra,Ejercicios de Aislamiento,Bíceps,Agonista,Barbell Bicep Curl
Curl concentrado en polea,Ejercicios de Aislamiento,Bíceps,Agonista,Cable Concentration Curl
Curl concentrado,Ejercicios de Aislamiento,Bíceps,Agonista,Concentration Curl
Curl martillo cruzado,Ejercicios de Aislamiento,Bíceps,Agonista,Cross-body Hammer Curl
Curl de bíceps con mancuernas,Ejercicios de Aislamiento,Bíceps,Agonista,Dumbbell Bicep Curl
Curl de bíceps con barra EZ,Ejercicios de Aislamiento,Bíceps,Agonista,EZ Bar Bicep Curl
Curl martillo,Ejercicios de Aislamiento,Bíceps,Agonista,Hammer Curl
Curl de bíceps en polea alta,Ejercicios de Aislamiento,Bíceps,Agonista,High Cable Bicep Curl
Curl de bíceps en banco inclinado,Ejercicios de Aislamiento,Bíceps,Agonista,Incline Bench Dumbbell Curl
Curl inclinado con mancuernas,Ejercicios de Aislamiento,Bíceps,Agonista,Incline Dumbbell Curl
Curl de bíceps en polea baja,Ejercicios de Aislamiento,Bíceps,Agonista,Low Cable Bicep Curl
Curl de bíceps acostado en polea,Ejercicios de Aislamiento,Bíceps,Agonista,Lying Cable Bicep Curl
Curl predicador en máquina,Ejercicios de Aislamiento,Bíceps,Agonista,Preacher Curl Machine
Curl en polea con cuerda,Ejercicios de Aislamiento,Bíceps,Agonista,Rope Cable Curl
Curl de bíceps en banco Scott,Ejercicios de Aislamiento,Bíceps,Agonista,Scott Bench Bicep Curl
Curl de bíceps en máquina Scott,Ejercicios de Aislamiento,Bíceps,Agonista,Scott Machine Bicep Curl
Curl spider,Ejercicios de Aislamiento,Bíceps,Agonista,Spider Curl
Flexiones de bíceps en TRX,Ejercicios de Aislamiento,Bíceps,Agonista,TRX Bicep Curl
Face pull en polea,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Cable Face Pull
Remo en máquina de cadena,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Chain Machine Row
Face pull,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Face Pull
Remo en máquina Hammer,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Hammer Strength Machine Row
Remo en máquina,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Machine Row
Remo en polea con cuerda,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Rope Cable Row
Remo en polea baja,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Seated Cable Row
Remo en Smith,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Smith Machine Row
Remo sentado con agarre ancho,Tirón Horizontal (Máquina),Bíceps,Sinergista leve,Wide Grip Seated Row
Remo con barra,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Barbell Row
Remo con agarre estrecho,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Close Grip Row
Remo en banco con mancuernas,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Dumbbell Bench Row
Remo con mancuerna,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Dumbbell Row
